4,4300 Wilgrove-Mint Hill Road,Mint Hill,North Carolina,Mecklenburg,28227,7-Eleven
6,6233 Albemarle Road.,Charlotte,North Carolina,Mecklenburg,28212,7-Eleven
9,1120 W. Sugar Creek Road,Charlotte,North Carolina,Mecklenburg,28213,7-Eleven
11,9701 Sam Furr Road,Huntersville,North Carolina,Mecklenburg,28078,7-Eleven
12,10700 Reames Road,Charlotte,North Carolina,Mecklenburg,28269,7-Eleven
14,9608 University City Blvd.,Charlotte,North Carolina,Mecklenburg,28213,7-Eleven
15,9025 Mallard Creek Road,Charlotte,North Carolina,Mecklenburg,28262,7-Eleven
20,7740 Bruton Smith Blvd.,Concord,North Carolina,Cabarrus,28027,7-Eleven
21,9759 Charlotte Highway,Indian Land,South Carolina,Lancaster,29707,7-Eleven
23,668 West John Street ,Matthews,North Carolina,Mecklenburg,28105,Sam's Mart
25,6201 N. Tryon Street,Charlotte,North Carolina,Mecklenburg,28213,Sam's Mart
29,3024 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
35,8925 Nations Ford Road,Charlotte,North Carolina,Mecklenburg,28217,7-Eleven
38,6886 Poplar Tent Road,Concord,North Carolina,Cabarrus,28027,7-Eleven
39,6401 Old Statesville Rd.,Charlotte,North Carolina,Mecklenburg,28269,7-Eleven
40,4808 Brookshire Blvd,Charlotte,North Carolina,Mecklenburg,28216,7-Eleven
41,2901 Yorkmont Road,Charlotte,North Carolina,Mecklenburg,28208,7-Eleven
42,2825 Little Rock Road,Charlotte,North Carolina,Mecklenburg,28214,7-Eleven
43,3800 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
46,105 South Polk Street,Pineville,North Carolina,Mecklenburg,28134,7-Eleven
48,2840 Eastway Drive,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
49,5235 South Boulevard,Charlotte,North Carolina,Mecklenburg,28217,Sam's Mart
52,5343 Monroe Road ,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
53,5115 Old Dowd Road,Charlotte,North Carolina,Mecklenburg,28208,7-Eleven
54,2415 Little Rock Rd.,Charlotte,North Carolina,Mecklenburg,28214,7-Eleven
55,5455 Brookshire Boulevard ,Charlotte,North Carolina,Mecklenburg,28216,7-Eleven
56,2932 Mt. Holly-Huntersville Rd,Charlotte,North Carolina,Mecklenburg,28214,7-Eleven
60,527 Providence Road ,Charlotte,North Carolina,Mecklenburg,28207,Sam's Mart
63,1920 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
67,4847 Charlotte Hwy,Lake Wylie,South Carolina,York,29710,7-Eleven
69,2701 The Plaza,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
77,3305 Scott Futrell Drive,Charlotte,North Carolina,Mecklenburg,28208,Sam's Mart
79,10222 Johnston Road,Pineville,North Carolina,Mecklenburg,28210,Sam's Mart
80,8325 Old Statesville Road,Charlotte,North Carolina,Mecklenburg,28269,7-Eleven
81,10130 Charlotte Highway,Indian Land,South Carolina,Lancaster,29707,Sam's Mart
87,923 S. Kings Drive,Charlotte,North Carolina,Mecklenburg,28204,Sam's Mart
92,5701 NC Hwy 74 W,Indian Trail,North Carolina,Union,28079,Sam's Mart
95,4025 Highway 49 South,Harrisburg,North Carolina,Cabarrus,28075,Sam's Mart
98,3650 N. Highway 16 Business ,Denver,North Carolina,Lincoln,28037,Sam's Mart
99,100 E. Woodlawn Road,Charlotte,North Carolina,Mecklenburg,28217,XPRESS MART
100,4646 South Boulevard,Charlotte,North Carolina,Mecklenburg,28209,Sam's Mart
101,7340 Poplar Tent Rd.,Concord,North Carolina,Cabarrus,28027,Sam's Mart
102,1021 Aspinal Street ,Waxhaw,North Carolina,Union,,Sams Xpress
105,9308 Steele Creek Road,Charlotte,North Carolina,Mecklenburg,28273,Sam's Mart
106,4235 Providence Road,Charlotte,North Carolina,Mecklenburg,28211,Sam's Mart
107,2312 Westchester Dr.,High Point,North Carolina,Guilford,27262,Sam's Mart
108,10343 Cane Creek Drive,Huntersville,North Carolina,Mecklenburg,28078,Sam's Mart
110,8016 N. Tryon Street,Charlotte,North Carolina,Mecklenburg,28262,Sam's Mart
111,1614 Spring Garden Street,Greensboro,North Carolina,Guilford,27403,Sam's Mart
201,5200 Piper Station Drive,Charlotte,North Carolina,Mecklenburg,28277,7-Eleven
202,10806 Providence Rd.,Charlotte,North Carolina,Mecklenburg,28277,7-Eleven
203,7511 Pineville-Matthews Rd.,Charlotte,North Carolina,Mecklenburg,26226,7-Eleven
204,8924 Pineville-Matthews Rd.,Charlotte,North Carolina,Mecklenburg,28226,Sam's Mart
205,240 Carowinds Blvd.,Fort Mill,South Carolina,York,29708,7-Eleven
206,12710 South Tryon St.,Charlotte,North Carolina,Mecklenburg,28273,7-Eleven
207,8010 South Tryon St,Charlotte,North Carolina,Mecklenburg,28273,7-Eleven
208,8315 Steele Creek Rd.,Charlotte,North Carolina,Mecklenburg,28217,7-Eleven
209,4401 Park Rd.,Charlotte,North Carolina,Mecklenburg,28209,7-Eleven
210,5701 Old Providence Rd.,Charlotte,North Carolina,Mecklenburg,28078,7-Eleven
211,4300 North Graham St.,Charlotte,North Carolina,Mecklenburg,28206,7-Eleven
212,10023 North Tryon St.,Charlotte,North Carolina,Mecklenburg,28262,7-Eleven
213,1901 Pavilion Blvd.,Charlotte,North Carolina,Mecklenburg,28262,7-Eleven
214,3301 Monroe Road,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
215,5124 Central Avenue,Charlotte,North Carolina,Mecklenburg,28205,7-Eleven
216,9502 Mt. Holly Huntersville Rd.,Charlotte,North Carolina,Mecklenburg,28226,7-Eleven
217,1700 Windsor Square Drive,Matthews,North Carolina,Mecklenburg,28105,7-Eleven
218,11208 East Independence Blvd.,Matthews,North Carolina,Mecklenburg,28105,7-Eleven
220,304 Unionville Indian Trail Rd West,Indian Trail,North Carolina,Union,28079,7-Eleven
301,2354 Parchment Blvd,Fort Mill,South Carolina,York,29708,SAM'S XPRESS
302,1531 Sam's Lane ,Charlotte,North Carolina,Mecklenburg,28262,SAM'S XPRESS
304,16814 Caldwell Creek,Huntersville,North Carolina,Mecklenburg,28078,SAM'S XPRESS
305,"4901 Old York Road 
",Rock Hill,South Carolina,York,29730,SAM'S XPRESS
306,10701 Monroe Road,Matthews,North Carolina,Mecklenburg,28105,SAM'S XPRESS
307,7169 NC Hwy 73,Denver,North Carolina,Lincoln,28037,SAM'S XPRESS
308,645 W. Fleming Drive ,Morganton,North Carolina,Burke,28655,SAM'S XPRESS
309,25 Raiford Drive NW,Concord,North Carolina,Cabarrus,28027,SAM'S XPRESS
310,11124 Old Statesville Road,Huntersville,North Carolina,Mecklenburg,28078,SAM'S XPRESS
312,10225 Park Road,Pineville,North Carolina,Mecklenburg,28210,SAM'S XPRESS
313,1817 East Franklin Boulevard,Gastonia,North Carolina,Gaston,28054,SAM'S XPRESS
314,9248 Lawyers Road,Mint Hill,North Carolina,Mecklenburg,28227,SAM'S XPRESS
315,"2371 Springs Road, NE",Hickory,North Carolina,Catawba,28601,SAM'S XPRESS
316,2920 Rogers Road ,Wake Forest,North Carolina,Wake,27587,SAM'S XPRESS
317,4603 South Boulevard,Charlotte,North Carolina,Mecklenburg,28209,SAM'S XPRESS
318,624 River Highway,Mooresville,North Carolina,Iredell,,SAM'S XPRESS
319,1151 E. Williams Street ,Apex,North Carolina,Wake,27502,SAM'S XPRESS
320,990 Hodge Road,Knightdale,North Carolina,Wake,27545,SAM'S XPRESS
321,2224 Dixie Forest Road ,Raleigh,North Carolina,Wake,27615,SAM'S XPRESS
322,4232 Charlotte Hwy ,Lake Wylie,South Carolina,York,,SAM'S XPRESS
323,1000 Technology Blvd. ,Indian Trail,North Carolina,Union,28079,SAM'S XPRESS
325,6231 N. Tryon Street,Charlotte,North Carolina,Mecklenburg,28213,SAM'S XPRESS
327,920 N. Wesleyan Blvd.,Rocky Mount,North Carolina,Nash,,SAM'S XPRESS
329,4965 University Parkway,Winston Salem,North Carolina,Forsyth,27101,SAM'S XPRESS
330,N. Bailey Bridge Road,Midlothian,Virginia,Chesterfield,23112,SAM'S XPRESS
331,3264 Holland Road,Virginia Beach,Virginia,City of Virginia Beach,23453,SAM'S XPRESS
333,2811 Jones Franklin Road,Cary,North Carolina,Wake,27606,SAM'S XPRESS
334,8182 Charlotte Highway,Indian Land,South Carolina,Lancaster,29707,SAM'S XPRESS
335,Bypass Road,Williamsburg,Virginia,York,,SAM'S XPRESS
336,1528 N. Main Street,Fuquay-Varina,North Carolina,Wake,,SAM'S XPRESS
337,Raleigh Road,Wilson,North Carolina,Wilson,,SAM'S XPRESS
339,Carolina Lily,Charlotte,North Carolina,Mecklenburg,,SAM'S XPRESS
340,2700 South Horner Boulevard,Sanford,North Carolina,Lee,,SAM'S XPRESS
341,700 Firetower Road,Greenville,South Carolina,Pitt,28590,SAM'S XPRESS
342,11301 Ironbridge Road,Chester,Virginia,Chesterfield,,SAM'S XPRESS
343,Cherry Road,Rock Hill,South Carolina,York,,SAM'S XPRESS
344,Chapel Hill Road & Green Drive,Morrisville,North Carolina,Wake,,SAM'S XPRESS
345,Albemarle Road,Mint Hill,North Carolina,Mecklenburg,,SAM'S XPRESS
504,6185 Windward Pkwy,Alpharetta,Georgia,Fulton,30005,XPRESS MART
4321,2316 Dixie Forest Road,Raleigh,North Carolina,Wake,27615,SAM'S XPRESS
4336,1520 N. Main Street,Fuquay-Varina,North Carolina,Wake,27526,SAM'S XPRESS
4506,3325 Old Milton Pkwy,Alpharetta,Georgia,Fulton,30005,Sam's Mart
6008,3900 Corporation Circle,Charlotte,North Carolina,Mecklenburg,28216,Samuel Coraluzzo Co Inc
6011,7730 Bruton Smith Boulevard,Concord,North Carolina,Cabarrus,28027,Speedway Plaza
6005,10039 University City Blvd.,Charlotte,North Carolina,Mecklenburg,28213,49er Plaza
